Source;Target;Weight
Mariette-Clot, Catherine;Zanone, Damien;20
Charon, Anne;Claerr, Thierry;20
Carvais, Robert;Glineur, Cédric;20
Antoine, François;Biard, Michel;20
Antoine, François;Simien, Côme;20
Charon, Anne;Moureau, François;20
Biard, Michel;Simien, Côme;20
Bonnel, Roland;Rubinger, Catherine;20
Bourdin, Philippe;Simien, Côme;20
Mix, York-Gothart;Sorel, Patricia;20
Godel, Rainer;Vincent, Charles;20
Godel, Rainer;Vallenthini, Michèle;20
Leuwers, Hervé;Simien, Côme;20
Claerr, Thierry;Moureau, François;20
Vallenthini, Michèle;Vincent, Charles;20
Duperray, Ève;Poinas, Bruno;20
Häseler, Jens;McKenna, Antony;20
Alimento, Antonella;Goggi, Gianluigi;20
Delon, Michel;Schlobach, Jochen;20
Lüsebrink, Hans-Jürgen;Sorel, Patricia;20
Mollier, Jean-Yves;Sorel, Patricia;20
Antoine, François;Bourdin, Philippe;20
Bastien, Pascal;Macdonald, Simon;19
Mongenot, Christine;Plagnol-Diéval, Marie-Emmanuelle;19
Gris, Fabien;Igalens, Jean-Christophe;19
Groult, Martine;la collaboration de Claire Fauvergue, avec;19
Delia, Luigi;la collaboration de Claire Fauvergue, avec;19
Boulad-Ayoub, Josiane;Schulte-Tenckhoff, Isabelle;19
Boulad-Ayoub, Josiane;Vernes, Paule-Monique;19
Schulte-Tenckhoff, Isabelle;Vernes, Paule-Monique;19
Chiron, Jeanne;Seth, Catriona;19
Delia, Luigi;Groult, Martine;19
Brucker, Nicolas;Meier, Franziska;19
Tabet, Xavier;Vento, Christian Del;19
Meyer, Véronique;Pujalte-Fraysse, Marie-Luce;19
Externbrink, Sven;Levillain, Charles-Édouard;19
Audegean, Philippe;Musitelli, Pierre;19
Audegean, Philippe;Vento, Christian Del;19
Burnand, Léonard;Genand, Stéphanie;19
Musitelli, Pierre;Tabet, Xavier;19
Musitelli, Pierre;Vento, Christian Del;19
Audegean, Philippe;Tabet, Xavier;19
Leca-Tsiomis, Marie;la collaboration d’Alain Sandrier, avec;19
Aubert, Gauthier;Provost, Georges;19
Gallouët, Catherine;Schutter, avec Yolande G.;18
Mao, Caroline Le;Meyzie, Philippe;18
Leduc, Christian;Pépin, François;18
Chrościcki, Juliusz A.;Sabatier, Gérard;18
Hengerer, Mark;Sabatier, Gérard;18
Leduc, Christian;Rey, Anne-Lise;18
Antoine-Mahut, Delphine;Zékia, Stéphane;18
Poussou, Jean-Pierre;Robin-Romero, Isabelle;18
Dunne, Emma M.;Pierse, Síofra;18
Berchtold, Jacques;Hersant, Marc;18
Pépin, François;Rey, Anne-Lise;18
Pépin, François;Rioux-Beaulne, Mitia;18
Rey, Anne-Lise;Rioux-Beaulne, Mitia;18
Bucher, Danijela;Volmert, Miriam;18
Johnson, E. Joe;Wells, Byron R.;18
Garnot, Benoît;Lemesle, Bruno;18
Crépin, Annie;Gainot, Bernard;18
Crépin, Annie;Kaci, Maxime;18
Gengoux, Nicole;Paganini, Gianni;18
Bianchi, Lorenzo;Paganini, Gianni;18
Bianchi, Lorenzo;Gengoux, Nicole;18
