;coeditor1;coeditor2;count
4102;Dunne, Emma M.;Pierse, Síofra;18
715;Berchtold, Jacques;Hersant, Marc;18
3506;Pépin, François;Rey, Anne-Lise;18
3507;Pépin, François;Rioux-Beaulne, Mitia;18
3508;Rey, Anne-Lise;Rioux-Beaulne, Mitia;18
4700;Bucher, Danijela;Volmert, Miriam;18
3255;Johnson, E. Joe;Wells, Byron R.;18
2712;Garnot, Benoît;Lemesle, Bruno;18
1926;Crépin, Annie;Gainot, Bernard;18
1927;Crépin, Annie;Kaci, Maxime;18
844;Gengoux, Nicole;Paganini, Gianni;18
843;Bianchi, Lorenzo;Paganini, Gianni;18
842;Bianchi, Lorenzo;Gengoux, Nicole;18
1275;Brockliss, Laurence;Robertson, Ritchie;18
5323;Peslier, Bénédicte Peralez;de Reyniès, Justine;18
1363;Burrows, Simon;Roe, Glenn;18
3817;Armand, Guilhem;Meure, Chantale;18
1928;Gainot, Bernard;Kaci, Maxime;18
1695;Chrościcki, Juliusz A.;Hengerer, Mark;18
1459;Capdeville, Valérie;Kerhervé, Alain;18
785;Donato, Clorinda;Lüsebrink, Hans-Jürgen;18
2677;Roukhomovsky, Bernard;Roux, Sophie;17
3436;Landié, Geneviève;Papin, Bernard;17
2672;Gaillard, Aurélia;Goffi, Jean-Yves;17
2306;Cénat, Jean-Philippe;Drévillon, Hervé;17
2674;Gaillard, Aurélia;Roux, Sophie;17
2305;Drévillon, Hervé;Fonck, Bertrand;17
1372;Rieucau, Nicolas;la collaboration d’Emmanuelle de Champs, avec;17
1371;Bustarret, Claire;Rieucau, Nicolas;17
2675;Goffi, Jean-Yves;Roukhomovsky, Bernard;17
4910;Braun, Theodore E. D.;McCarthy, John A.;17
3611;Lozat, Mélanie;Petrella, Sara;17
2673;Gaillard, Aurélia;Roukhomovsky, Bernard;17
3437;Landié, Geneviève;Sebbah, Alain;17
3438;Papin, Bernard;Sebbah, Alain;17
2676;Goffi, Jean-Yves;Roux, Sophie;17
2696;Ganofsky, Marine;Perras, Jean-Alexandre;17
2768;Girard, Pierre;Leduc, Christian;17
4071;Adrien, Muriel;Percival, Melissa;17
4125;Plagnol-Diéval, Marie-Emmanuelle;Poirson, Martial;17
4239;Niort, Jean-François;Régent, Frédéric;17
4240;Régent, Frédéric;Serna, Pierre;17
4241;Niort, Jean-François;Serna, Pierre;17
3541;Lethuillier, Jean-Pierre;Parsis-Barubé, Odile;17
3206;Houdard, Sophie;Jacques-Chaquin, Nicole;17
713;Berchtold, Jacques;Habib, Claude;17
2761;Gilain, Christian;Guilbaud, Alexandre;17
2879;Greilich, Susanne;Lüsebrink, Hans-Jürgen;17
2769;Girard, Pierre;Rioux-Beaulne, Mitia;17
900;Bisset, Sophie;Felton, Marie-Claude;17
4127;Poirson, Martial;Ramond, Catherine;17
4126;Plagnol-Diéval, Marie-Emmanuelle;Ramond, Catherine;17
2307;Cénat, Jean-Philippe;Fonck, Bertrand;17
902;Felton, Marie-Claude;Wolfe, Charles T.;17
901;Bisset, Sophie;Wolfe, Charles T.;17
1370;Bustarret, Claire;la collaboration d’Emmanuelle de Champs, avec;17
3516;Bénac-Giroux, Karine;Leichman, Jeffrey;17
4058;Lasowski, Patrick Wald;Pujol, Stéphane;16
4057;Lasowski, Patrick Wald;Pavy-Guilbert, Élise;16
2346;Magnot, Florence;Salaün, Franck;16
4049;Paschoud, Adrien;Pépin, François;16
2344;Duflo, Colas;Magnot, Florence;16
114;André, Valérie;Couvreur, Manuel;16
2982;Harder, Mette;Heuer, Jennifer Ngaire;16
215;Armenteros, Carolina;Lebrun, Richard A.;16
113;André, Valérie;Bernard, Bruno;16
1993;Dagen, Jean;Escola, Marc;16
4056;Pavy-Guilbert, Élise;Pujol, Stéphane;16
1995;Escola, Marc;Rueff, Martin;16
1994;Dagen, Jean;Rueff, Martin;16
2345;Duflo, Colas;Salaün, Franck;16
580;Beaucé, Pauline;Rubellin, Françoise;16
2604;Fourcade, Marie;Zupanov, Ines G.;16
809;Bertrand, Gilles;Mouren, Raphaële;16
3647;Leclerc, Yvan;Poulouin, Claudine;16
767;Bernard, Bruno;Guri, Shipé;16
864;Bickerton, David;Proud, Judith;16
3646;Leclerc, Yvan;Macé, Laurence;16
3645;Macé, Laurence;Poulouin, Claudine;16
1289;Brot, Muriel;Viselli, Sante A.;16
1878;Cottret, Monique;Guittienne-Murger, Valérie;16
1336;Bullard, Paddy;Tadié, Alexis;16
807;Bertrand, Gilles;Cayuela, Anne;16
808;Bertrand, Gilles;Vento, Christian Del;16
4957;Seth, Catriona;von Kulessa, Rotraud;16
810;Cayuela, Anne;Vento, Christian Del;16
812;Mouren, Raphaële;Vento, Christian Del;16
2590;Fornasiero, Jean;West-Sooby, John;16
811;Cayuela, Anne;Mouren, Raphaële;16
3470;Legrand, Raphaëlle;Schang-Norbelly, Marie-Cécile;16
502;Bouvier, Pascal;Brunat, Éric;15
3771;Méchoulan, Henry;Simonutti, Luisa;15
4146;Poirrier, Philippe;Tillier, Bertrand;15
4882;Arnould, Jean-Claude;Steinberg, Sylvie;15
3772;Popkin, Richard H.;Ricuperati, Giuseppe;15
168;Antoine, François;Bernard, Bruno;15
169;Antoine, François;Galand, Michèle;15
170;Antoine, François;Heirwegh, Jean-Jacques;15
475;Baron, Konstanze;Fajen, Robert;15
505;Brunat, Éric;Clerc, Florence;15
3770;Méchoulan, Henry;Ricuperati, Giuseppe;15
499;Barthélémy, Annie;Brunat, Éric;15
172;Bernard, Bruno;Heirwegh, Jean-Jacques;15
3769;Méchoulan, Henry;Popkin, Richard H.;15
173;Galand, Michèle;Heirwegh, Jean-Jacques;15
506;Brunat, Éric;Kohlhauer, Michael;15
171;Bernard, Bruno;Galand, Michèle;15
890;Bisaro, Xavier;Clément, Gisèle;15
869;Billaud, Isabelle;Laperrière, Marie-Catherine;15
2607;Fowler, James;Ganofsky, Marine;15
4931;D’Hainaut-Zveny, Brigitte;Marx, Jacques;15
1619;Charon, Annie;Juratic, Sabine;15
1620;Charon, Annie;Pantin, Isabelle;15
4724;Weltman-Aron, Brigitte;Westmoreland, Peter;15
1621;Juratic, Sabine;Pantin, Isabelle;15
115;Andréani, Roland;Michel, Henri;15
116;Andréani, Roland;Pélaquier, Élie;15
117;Michel, Henri;Pélaquier, Élie;15
3774;Ricuperati, Giuseppe;Simonutti, Luisa;15
3929;Musso, Jean;Penel, Patrick;15
146;Andurand, Olivier;Pialoux, Albane;15
3153;Houllemare, Marie;Roussel, Diane;15
4271;Naugrette, Florence;Robardey-Eppstein, Sylviane;15
1594;Chapron, Emmanuelle;Pugnière, François;15
3556;Lignereux, Yann;Rousteau-Chambon, Hélène;15
1648;Chedeville, Émilie;Jollet, Étienne;15
1649;Chedeville, Émilie;Sourdin, Claire;15
1650;Jollet, Étienne;Sourdin, Claire;15
4973;Blanc, Judith le;Legrand, Raphaëlle;15
4974;Blanc, Judith le;Schang-Norbelly, Marie-Cécile;15
892;Clément, Gisèle;Thoraval, Fañch;15
891;Bisaro, Xavier;Thoraval, Fañch;15
2944;Habib, Claude;Manent, Pierre;15
3773;Popkin, Richard H.;Simonutti, Luisa;15
4725;Mostefai, Ourida;Westmoreland, Peter;15
1154;Bournonville, Coralie;Faulot, Audrey;15
3502;Ledbury, Mark;Wellington, Robert;15
2262;Doig, Kathleen Hardesty;Medlin, Dorothy;15
2781;Bernier, Marc André;Gladu, Kim;15
2698;Gantet, Claire;Zedelmaier, Helmut;15
4081;Décultot, Élisabeth;Pfeiffer, Helmut;15
2782;Bernier, Marc André;Krief, Huguette;15
